n,gamma,a1_re,a1_im
298,409.588213120836,-3.00161609e+00,1.18553629e+01
299,410.871662863483,-1.02230594e+01,1.46048914e+01
300,411.660571450853,3.57025416e+00,1.88083633e+01
301,412.731146957583,2.35744686e+00,1.74993443e+01
302,413.669285395296,9.07649686e+00,1.09862543e+01
303,415.429295872921,-1.10336841e+01,1.08927960e+01
304,416.370591226616,-4.83596436e+00,2.23019394e+01
305,417.129270213613,1.11600072e+01,1.29346426e+01
306,418.557476726828,-6.13328724e+00,1.39090186e+01
307,419.487459422307,3.37134005e+00,1.89045230e+01
308,420.528953897983,7.51944706e+00,1.15161643e+01
309,422.510373029580,-6.45334179e+01,-8.01142177e+00
310,422.687254605134,5.39263046e+01,4.08084327e+01
311,424.066895492738,-1.82880791e+00,1.92348680e+01
312,424.823388820005,1.32166459e+01,1.00419154e+01
313,426.732417008649,-1.66203604e+01,1.07994387e+01
314,427.384017811342,8.48814878e+00,2.03898465e+01
315,428.698107954067,-4.20322269e+00,1.51900444e+01
316,429.589385972485,2.87718523e+00,1.74764132e+01
317,430.617557835896,5.78074313e+00,1.40100473e+01
318,432.060772515970,-4.60969718e+00,1.49687116e+01
319,433.037443119578,3.48271150e+00,1.47177950e+01
320,434.439352398953,-1.03205926e+01,1.25457869e+01
321,435.348154160343,-9.29624385e+00,2.89068659e+01
322,435.904163677450,2.37198774e+01,8.53502784e+00
323,437.582219399193,-1.70092808e+00,1.12543005e+01
324,439.158108255197,-3.48745543e+01,1.10714837e+01
325,439.537569445176,2.71269179e+01,2.69978295e+01
326,440.677227899854,6.07175617e+00,1.19400628e+01
327,442.169739917182,-1.41407332e+01,1.73553132e+01
328,442.777044291222,1.65370960e+01,1.51538490e+01
329,444.438290507889,-6.34016516e+00,1.27593520e+01
330,445.463739168413,-4.25508184e+00,1.68937212e+01
331,446.448331621937,-2.35897056e+00,1.99703861e+01
332,447.302008904811,9.27264911e+00,1.67149618e+01
333,448.506931088658,4.68962273e+00,1.25451025e+01
334,450.056620306917,-9.19084302e+00,1.23848915e+01
335,451.070775905425,-8.17930545e+00,2.09250723e+01
336,451.839972460977,8.62681077e+00,1.90502479e+01
337,452.879869538279,6.31925137e+00,1.34497710e+01
338,454.253514329354,-2.87087227e+00,1.45597724e+01
339,455.422497421379,-3.04475625e+00,1.78383819e+01
340,456.392498176649,4.40109172e+00,1.47078517e+01
341,457.782550501735,-1.27143118e+01,1.32164512e+01
342,458.602132213340,-2.39401431e+00,3.12174984e+01
343,459.232883374029,2.20617330e+01,6.33600633e+00
344,461.229860089685,-1.30971354e+01,9.76309102e+00
345,462.093262103951,-4.27014325e+00,2.27822560e+01
346,462.984574325850,5.61261552e+00,1.82050821e+01
347,464.074350134387,1.73447971e+00,1.67594464e+01
348,465.084496147604,5.74205263e+00,1.43362315e+01
349,466.565294070755,-7.55669409e+00,1.54734068e+01
350,467.469878437025,3.81874017e+00,1.70594765e+01
351,468.852763450972,-1.52350240e+01,1.69417333e+01
352,469.410153424018,1.47320593e+01,1.81201874e+01
353,470.850118898187,-6.92420201e+00,2.02998633e+01
354,471.558488620326,1.49518968e+01,1.18957367e+01
355,473.449639415461,-1.68214798e+01,8.27842273e+00
356,474.251661331198,-1.10010561e+01,3.04043062e+01
