n,gamma,a1_re,a1_im
334,473.387149029717,9.82278499e+00,1.33202888e+01
335,474.645084165178,5.12046133e+00,9.25357879e+00
336,476.413118601802,-1.21542348e+01,1.08920485e+01
337,477.086028913592,9.23129154e+00,1.38214339e+01
338,479.029199856923,-3.02346160e+01,5.14520508e+00
339,479.397399750526,2.09081272e+01,2.50254463e+01
340,480.644243324571,8.43605274e-01,1.33956458e+01
341,481.645003952002,3.14699483e+00,1.33221774e+01
342,482.944800252098,-2.45824660e+00,1.66528239e+01
343,483.794626820111,1.05882216e+01,1.03402468e+01
344,485.412781185815,-1.78704780e+00,9.71874060e+00
345,486.822151673585,-8.80728418e+00,1.13486721e+01
346,487.833171011941,-3.84196527e+00,1.78155348e+01
347,488.806150414169,2.40842860e+00,1.60665200e+01
348,489.766281039969,4.15759991e+00,1.17991501e+01
349,491.070330632695,-4.93784562e+00,1.41950694e+01
350,492.107637911826,6.22455859e-01,2.24619661e+01
351,492.834775780116,1.55819673e+01,4.59415519e+00
352,495.013420762541,-1.27838378e+01,5.79626207e+00
353,495.883345489982,-5.62420575e+00,2.15637671e+01
354,496.742536079705,9.16755881e+00,1.34321492e+01
355,498.351512093401,-1.44530723e+01,1.04826548e+01
356,498.924013896605,8.38248161e+00,1.87611034e+01
357,500.156392642679,-6.72208426e-01,1.80363200e+01
358,501.012730624683,1.12859816e+01,1.10653500e+01
359,502.538024822396,-1.92302659e-01,1.09752489e+01
360,503.813553181904,-1.69054611e+00,1.16718562e+01
361,505.221533937775,-1.06704892e+01,1.36470961e+01
362,506.016591965456,5.51903349e+00,1.62036777e+01
363,507.389099012165,-8.35189324e+00,1.30753978e+01
364,508.203118801750,1.00820521e+00,2.07558014e+01
365,509.013551682515,1.18834590e+01,1.11411472e+01
366,510.673742477348,-8.86851050e+00,1.60870273e+01
367,511.348064517480,1.37504117e+01,1.11082086e+01
368,513.020293206924,-2.69472408e+00,9.78860304e+00
369,514.468974953505,-1.45416006e+01,1.10172145e+01
370,515.304217694276,-1.82828021e+00,2.44909004e+01
371,516.086082303006,1.14668964e+01,1.17087346e+01
372,517.454404967840,-3.71559864e+00,1.14864001e+01
373,518.679457557756,-2.03079257e+01,2.66514511e+01
374,519.110018376818,3.03135311e+01,7.33431339e+00
375,520.762433719977,1.61354055e+00,9.81764826e+00
376,522.273360479461,-7.08697842e+00,1.04287363e+01
377,523.443104957283,-1.01937512e+01,1.73263212e+01
378,524.252099457398,7.16317616e+00,1.71556487e+01
379,525.474818404341,-1.15830537e+00,1.25637337e+01
380,526.539841490712,-3.95101283e+00,1.52472637e+01
381,527.592583496374,-3.10235367e+00,2.45910322e+01
382,528.262503725704,1.85849025e+01,7.08630196e+00
383,530.022610005663,-2.60835427e+00,1.02142145e+01
384,531.345648371676,-8.32783236e+00,1.39963405e+01
385,532.232306193382,4.36153230e+00,1.54977604e+01
386,533.684664285494,-8.21533019e+00,1.21548152e+01
387,534.783291041203,-3.05105078e+01,2.93172699e+01
388,535.077318870912,3.83294447e+01,6.15447415e+00
389,536.786232197594,-7.19605084e+00,1.50800676e+01
390,537.597789665046,9.22127732e+00,1.62698978e+01
391,538.823099924831,5.19783809e+00,1.07668706e+01
392,540.408352200658,-6.24786584e+00,1.06879319e+01
393,541.529179678855,-5.58308559e+00,1.51740374e+01
394,542.719632280079,-1.18473213e+01,2.04556726e+01
395,543.329992655782,1.43127949e+01,1.42117941e+01
396,544.719584417209,-5.98008385e+00,1.43414589e+01
397,545.540824011994,6.42241328e+00,1.65342784e+01
398,546.954129695066,-7.34042178e+00,2.31999367e+01
399,547.514148936416,1.99095132e+01,4.15885867e+00
400,549.886372786412,-2.95165132e+01,-3.53373258e+00
