n,gamma,gamma_dps,source
204,402.86191776388611417631544309603963469689404147711,50,mpmath.zetazero (mpmath python)
205,404.23644180020800474022779956352769019614058675205,50,mpmath.zetazero (mpmath python)
206,405.13438745990992725748626802541673616275605847702,50,mpmath.zetazero (mpmath python)
207,407.58146038689618207630900118139053764050614497451,50,mpmath.zetazero (mpmath python)
208,408.94724550235111251963403976415790179562289174919,50,mpmath.zetazero (mpmath python)
209,410.51386919336663864676910528486718778969270729827,50,mpmath.zetazero (mpmath python)
210,411.97226780427875066464029850727291740753912508529,50,mpmath.zetazero (mpmath python)
211,413.26273607018504688625705931772909087064855851117,50,mpmath.zetazero (mpmath python)
212,415.01880975515511564631921146281722150988151070359,50,mpmath.zetazero (mpmath python)
213,415.45521499629459885712878248666982493169301720795,50,mpmath.zetazero (mpmath python)
214,418.38770578953477922604572309955479882417240917792,50,mpmath.zetazero (mpmath python)
215,419.86136481815232368785230913838281739333016901606,50,mpmath.zetazero (mpmath python)
216,420.64382762504178626797465298500048070245751902179,50,mpmath.zetazero (mpmath python)
217,422.07671005882675962984066544938137527424591817578,50,mpmath.zetazero (mpmath python)
218,423.71657962748181861056287473176607418926279352037,50,mpmath.zetazero (mpmath python)
219,425.06988249446134761437469264915643134210415730389,50,mpmath.zetazero (mpmath python)
220,427.20882508407458052814293388571159838519149380640,50,mpmath.zetazero (mpmath python)
221,428.12791407661668211030506848631815930926093877571,50,mpmath.zetazero (mpmath python)
222,430.32874543093863666992698154185486268415350529315,50,mpmath.zetazero (mpmath python)
223,431.30130693070359201950512192755568105351882691612,50,mpmath.zetazero (mpmath python)
224,432.13864173458856830625324910895271690513948833500,50,mpmath.zetazero (mpmath python)
225,433.88921848092722530294661105079290244887622462416,50,mpmath.zetazero (mpmath python)
226,436.16100643264698407180151826237803798987125116341,50,mpmath.zetazero (mpmath python)
227,437.58169816766858115401316723332545949879014178833,50,mpmath.zetazero (mpmath python)
228,438.62173865627219629091501013717039562978309811233,50,mpmath.zetazero (mpmath python)
229,439.91844221437065641022179002702403928083281618953,50,mpmath.zetazero (mpmath python)
230,441.68319920118902387420443649916799307141932364702,50,mpmath.zetazero (mpmath python)
231,442.90454630260944946972310241276620206608713626613,50,mpmath.zetazero (mpmath python)
232,444.31933627755915592030574353979062094558731764465,50,mpmath.zetazero (mpmath python)
233,446.86062269642952252886087518074674313768164882065,50,mpmath.zetazero (mpmath python)
234,447.44170419449329006552692530360915973048069636888,50,mpmath.zetazero (mpmath python)
235,449.14854568502330475302350313470465000333574564806,50,mpmath.zetazero (mpmath python)
236,450.12694578031352403004576252878170551439076539684,50,mpmath.zetazero (mpmath python)
237,451.40330844538879546211322463135881120420997374786,50,mpmath.zetazero (mpmath python)
238,453.98673780667791603836681029400485837224121097123,50,mpmath.zetazero (mpmath python)
239,454.97468376861678887530943895127094592699490129730,50,mpmath.zetazero (mpmath python)
240,456.32842668924605122449983006305548349845748531817,50,mpmath.zetazero (mpmath python)
241,457.90389306410297157469932917178764504489521230695,50,mpmath.zetazero (mpmath python)
242,459.51341528110601175400994380204140538361330885273,50,mpmath.zetazero (mpmath python)
243,460.08794442217584125533025542820654624552355377787,50,mpmath.zetazero (mpmath python)
244,462.06536727488253096383092114561846204322781755400,50,mpmath.zetazero (mpmath python)
245,464.05728691054828457624608478366667591583268328841,50,mpmath.zetazero (mpmath python)
246,465.67153921137109455296664574399552885149476205854,50,mpmath.zetazero (mpmath python)
247,466.57028693082625516739212595226441209102028417894,50,mpmath.zetazero (mpmath python)
248,467.43904621026163885664500138444684232017252471164,50,mpmath.zetazero (mpmath python)
249,469.53600455911203219181906882912316567800343556626,50,mpmath.zetazero (mpmath python)
250,470.77365547810164769011887945443635354092885050910,50,mpmath.zetazero (mpmath python)
251,472.79917466190881665829799268177000319697305975481,50,mpmath.zetazero (mpmath python)
252,473.83523234513968707380546802338304369066159885503,50,mpmath.zetazero (mpmath python)
253,475.60033936937578560542881992367992506240551881226,50,mpmath.zetazero (mpmath python)
254,476.76901523748452085284868919546831192088761478434,50,mpmath.zetazero (mpmath python)
255,478.07526376667096919987272740490951431988042880488,50,mpmath.zetazero (mpmath python)
256,478.94218153463482653831710176703848402190424310960,50,mpmath.zetazero (mpmath python)
257,481.83033937628656136668137628509759809020300391934,50,mpmath.zetazero (mpmath python)
258,482.83478279098239730655699667632164646869674416878,50,mpmath.zetazero (mpmath python)
259,483.85142721248253756018822108466812768888958696654,50,mpmath.zetazero (mpmath python)
260,485.53914812935600693002542365808211726080647174976,50,mpmath.zetazero (mpmath python)
261,486.52871826165124435236752626994149943622792352231,50,mpmath.zetazero (mpmath python)
262,488.38056709001744852711143066481192219176718846042,50,mpmath.zetazero (mpmath python)
263,489.66176157795613151278090417497710497416927268392,50,mpmath.zetazero (mpmath python)
264,491.39882159366300656921333100853912801763384752473,50,mpmath.zetazero (mpmath python)
265,493.31444158178530093636060404322708223468675917257,50,mpmath.zetazero (mpmath python)
266,493.95799780536946490958309128688515198541246798838,50,mpmath.zetazero (mpmath python)
267,495.35882882213127749683413273717059826264124739798,50,mpmath.zetazero (mpmath python)
268,496.42969621575910348391891281607302043622001101135,50,mpmath.zetazero (mpmath python)
269,498.58078242968654201667508291248790516156147633305,50,mpmath.zetazero (mpmath python)
270,500.30908494169049553930939072517144647270487036965,50,mpmath.zetazero (mpmath python)
271,501.60444696514547766333254576285117453341938655099,50,mpmath.zetazero (mpmath python)
272,502.27627032711823317539950733388534254865170783885,50,mpmath.zetazero (mpmath python)
273,504.49977331342773718379126222836138915514881706692,50,mpmath.zetazero (mpmath python)
274,505.41523174224444202955216610928285533811449651305,50,mpmath.zetazero (mpmath python)
275,506.46415270952353122152607478064523073926962669233,50,mpmath.zetazero (mpmath python)
276,508.80070033646782080946967250819199933770558799716,50,mpmath.zetazero (mpmath python)
277,510.26422794367283442077951765473492513017125792930,50,mpmath.zetazero (mpmath python)
278,511.56228970037459546045490448659912557031268370901,50,mpmath.zetazero (mpmath python)
279,512.62314453140741866710125494348103406961113168154,50,mpmath.zetazero (mpmath python)
280,513.66898555547368343624414641792610882795189321012,50,mpmath.zetazero (mpmath python)
281,515.43505716729937724967689367295731070818807075944,50,mpmath.zetazero (mpmath python)
282,517.58966857246742534135796528694054883279205800705,50,mpmath.zetazero (mpmath python)
283,518.23422314755014357385827437347982066906243628741,50,mpmath.zetazero (mpmath python)
284,520.10631041172325590319614613426185807562244172429,50,mpmath.zetazero (mpmath python)
285,521.52519344949204096773239816319414120378699913804,50,mpmath.zetazero (mpmath python)
286,522.45669617773021043014441332251250813758797793388,50,mpmath.zetazero (mpmath python)
287,523.96053089201584048700750948097210253396423722811,50,mpmath.zetazero (mpmath python)
288,525.07738568727962218059121763013804488884934748416,50,mpmath.zetazero (mpmath python)
289,527.90364160127234522961726807115412042585844548309,50,mpmath.zetazero (mpmath python)
290,528.40621385229265894160889664738364266268315741070,50,mpmath.zetazero (mpmath python)
291,529.80622631870690079816398330156482935704168924242,50,mpmath.zetazero (mpmath python)
292,530.86691788396108964438743451485607017611076424054,50,mpmath.zetazero (mpmath python)
293,532.68818302829373050512644556914356847631028598867,50,mpmath.zetazero (mpmath python)
294,533.77963075376873256548254602313547272191811936026,50,mpmath.zetazero (mpmath python)
295,535.66431407587322461704612318227471468144449894506,50,mpmath.zetazero (mpmath python)
296,537.06975908312232758838973775358226803872663638678,50,mpmath.zetazero (mpmath python)
297,538.42852617624796284350095523978156677063870135926,50,mpmath.zetazero (mpmath python)
298,540.21316637622813338364566898996335095302403518190,50,mpmath.zetazero (mpmath python)
299,540.63139024729511736012807759917593402704804845465,50,mpmath.zetazero (mpmath python)
300,541.84743712120128154711911350890673669341512175314,50,mpmath.zetazero (mpmath python)
301,544.32389010100526290312130875576083620450304227888,50,mpmath.zetazero (mpmath python)
302,545.63683324893481825485543979442205156683033213520,50,mpmath.zetazero (mpmath python)
303,547.01091205812229246365588179312507166425950391483,50,mpmath.zetazero (mpmath python)
304,547.93161336448933831045115942614555752543878568626,50,mpmath.zetazero (mpmath python)
305,549.49756756266137845998473387977356996362431655820,50,mpmath.zetazero (mpmath python)
306,550.97001003948388904565723405699388647363030838390,50,mpmath.zetazero (mpmath python)
307,552.04957220056489279257670254556956968042736690795,50,mpmath.zetazero (mpmath python)
308,553.76497211915881461714978259209355571120369425260,50,mpmath.zetazero (mpmath python)
309,555.79202056168250841657322148535518932669756920078,50,mpmath.zetazero (mpmath python)
310,556.89947640685535126196421865614637447261632061572,50,mpmath.zetazero (mpmath python)
311,557.56465917205852840852398987433127778881835503244,50,mpmath.zetazero (mpmath python)
312,559.31623702868216376093514224020578897156754622797,50,mpmath.zetazero (mpmath python)
313,560.24080749729566824179327635886051982658617691827,50,mpmath.zetazero (mpmath python)
314,562.55920761604585110813791669532453623964102195878,50,mpmath.zetazero (mpmath python)
315,564.16087911078611781387953350040652866393567073974,50,mpmath.zetazero (mpmath python)
316,564.50605593814983512224596893897684057691014609050,50,mpmath.zetazero (mpmath python)
317,566.69878768280795624151228066724072631843608418294,50,mpmath.zetazero (mpmath python)
318,567.73175790117693745033473049357506464179940989544,50,mpmath.zetazero (mpmath python)
319,568.92395517962936849675348741686615173056926720585,50,mpmath.zetazero (mpmath python)
320,570.05111478246359203852701660132786884051162280285,50,mpmath.zetazero (mpmath python)
321,572.41998413245276404527692710734686214949044725568,50,mpmath.zetazero (mpmath python)
322,573.61461052675812998724603210964330093722689559535,50,mpmath.zetazero (mpmath python)
323,575.09388601449488560745717228219820785258424161281,50,mpmath.zetazero (mpmath python)
324,575.80724714092878070942933289443044385303702111596,50,mpmath.zetazero (mpmath python)
325,577.03900347209821121663708968773918929675936757924,50,mpmath.zetazero (mpmath python)
326,579.09883467203660743128436432892110014803352605694,50,mpmath.zetazero (mpmath python)
327,580.13695936238462867271627634803320000916851245311,50,mpmath.zetazero (mpmath python)
328,581.94657626590162555150611454472395673251056312659,50,mpmath.zetazero (mpmath python)
329,583.23608821916727826196057364948566209738962606958,50,mpmath.zetazero (mpmath python)
330,584.56170590346552836694589339345446684922629887451,50,mpmath.zetazero (mpmath python)
331,585.98456320498830057418725898558899083829406030052,50,mpmath.zetazero (mpmath python)
332,586.74277189125015564477184508734522087471206506512,50,mpmath.zetazero (mpmath python)
333,588.13966326624795641755423527049078529146577918415,50,mpmath.zetazero (mpmath python)
334,590.66039751676527563103200331027427486077801691222,50,mpmath.zetazero (mpmath python)
335,591.72585806504805664922244647274055813100462003728,50,mpmath.zetazero (mpmath python)
336,592.57135830022556982077271612031647430406512281254,50,mpmath.zetazero (mpmath python)
337,593.97471468223102924380517450938162622020331304693,50,mpmath.zetazero (mpmath python)
338,595.72815369738894917702092073286780442266354439996,50,mpmath.zetazero (mpmath python)
339,596.36276832839368408957909707046235620384090261266,50,mpmath.zetazero (mpmath python)
340,598.49307734616475440106358293611005083738403507931,50,mpmath.zetazero (mpmath python)
341,599.54564036436485399751539514444541029220720796923,50,mpmath.zetazero (mpmath python)
342,601.60213673593263605173810759596850847466465261704,50,mpmath.zetazero (mpmath python)
343,602.57916788638735429882272454283781845795443302319,50,mpmath.zetazero (mpmath python)
344,603.62561890357916067224396685745155420552600682736,50,mpmath.zetazero (mpmath python)
345,604.61621849375323291463960278864923753581109275575,50,mpmath.zetazero (mpmath python)
346,606.38346042210904108867431123988374521386914770484,50,mpmath.zetazero (mpmath python)
347,608.41321731118732517512672375717967124319025272797,50,mpmath.zetazero (mpmath python)
348,609.38957515472008052732387954789876784797113351640,50,mpmath.zetazero (mpmath python)
